company,date,close_price
Apple,2024-10-28,233.39999389648438
Apple,2024-10-29,233.6699981689453
Apple,2024-10-30,230.10000610351562
Apple,2024-10-31,225.91000366210938
Apple,2024-11-01,222.91000366210938
Apple,2024-11-04,222.00999450683594
Apple,2024-11-05,223.4499969482422
Apple,2024-11-06,222.72000122070312
Apple,2024-11-07,227.47999572753906
Apple,2024-11-08,226.9600067138672
Apple,2024-11-11,224.22999572753906
Apple,2024-11-12,224.22999572753906
Apple,2024-11-13,225.1199951171875
Apple,2024-11-14,228.22000122070312
Apple,2024-11-15,225.0
Apple,2024-11-18,228.02000427246094
Apple,2024-11-19,228.27999877929688
Apple,2024-11-20,229.0
Apple,2024-11-21,228.52000427246094
Apple,2024-11-22,229.8699951171875
Microsoft,2024-10-28,426.5899963378906
Microsoft,2024-10-29,431.95001220703125
Microsoft,2024-10-30,432.5299987792969
Microsoft,2024-10-31,406.3500061035156
Microsoft,2024-11-01,410.3699951171875
Microsoft,2024-11-04,408.4599914550781
Microsoft,2024-11-05,411.4599914550781
Microsoft,2024-11-06,420.17999267578125
Microsoft,2024-11-07,425.42999267578125
Microsoft,2024-11-08,422.5400085449219
Microsoft,2024-11-11,418.010009765625
Microsoft,2024-11-12,423.0299987792969
Microsoft,2024-11-13,425.20001220703125
Microsoft,2024-11-14,426.8900146484375
Microsoft,2024-11-15,415.0
Microsoft,2024-11-18,415.760009765625
Microsoft,2024-11-19,417.7900085449219
Microsoft,2024-11-20,415.489990234375
Microsoft,2024-11-21,412.8699951171875
Microsoft,2024-11-22,417.0
Google,2024-10-28,166.72000122070312
Google,2024-10-29,169.67999267578125
Google,2024-10-30,174.4600067138672
Google,2024-10-31,171.11000061035156
Google,2024-11-01,171.2899932861328
Google,2024-11-04,169.24000549316406
Google,2024-11-05,169.74000549316406
Google,2024-11-06,176.50999450683594
Google,2024-11-07,180.75
Google,2024-11-08,178.35000610351562
Google,2024-11-11,180.35000610351562
Google,2024-11-12,181.6199951171875
Google,2024-11-13,178.8800048828125
Google,2024-11-14,175.5800018310547
Google,2024-11-15,172.49000549316406
Google,2024-11-18,175.3000030517578
Google,2024-11-19,178.1199951171875
Google,2024-11-20,175.97999572753906
Google,2024-11-21,167.6300048828125
Google,2024-11-22,164.75999450683594
Amazon,2024-10-28,188.38999938964844
Amazon,2024-10-29,190.8300018310547
Amazon,2024-10-30,192.72999572753906
Amazon,2024-10-31,186.39999389648438
Amazon,2024-11-01,197.92999267578125
Amazon,2024-11-04,195.77999877929688
Amazon,2024-11-05,199.5
Amazon,2024-11-06,207.08999633789062
Amazon,2024-11-07,210.0500030517578
Amazon,2024-11-08,208.17999267578125
Amazon,2024-11-11,206.83999633789062
Amazon,2024-11-12,208.91000366210938
Amazon,2024-11-13,214.10000610351562
Amazon,2024-11-14,211.47999572753906
Amazon,2024-11-15,202.61000061035156
Amazon,2024-11-18,201.6999969482422
Amazon,2024-11-19,204.61000061035156
Amazon,2024-11-20,202.8800048828125
Amazon,2024-11-21,198.3800048828125
Amazon,2024-11-22,197.1199951171875
Tesla,2024-10-28,262.510009765625
Tesla,2024-10-29,259.5199890136719
Tesla,2024-10-30,257.54998779296875
Tesla,2024-10-31,249.85000610351562
Tesla,2024-11-01,248.97999572753906
Tesla,2024-11-04,242.83999633789062
Tesla,2024-11-05,251.44000244140625
Tesla,2024-11-06,288.5299987792969
Tesla,2024-11-07,296.9100036621094
Tesla,2024-11-08,321.2200012207031
Tesla,2024-11-11,350.0
Tesla,2024-11-12,328.489990234375
Tesla,2024-11-13,330.239990234375
Tesla,2024-11-14,311.17999267578125
Tesla,2024-11-15,320.7200012207031
Tesla,2024-11-18,338.739990234375
Tesla,2024-11-19,346.0
Tesla,2024-11-20,342.0299987792969
Tesla,2024-11-21,339.6400146484375
Tesla,2024-11-22,352.55999755859375
Meta,2024-10-28,578.1599731445312
Meta,2024-10-29,593.280029296875
Meta,2024-10-30,591.7999877929688
Meta,2024-10-31,567.5800170898438
Meta,2024-11-01,567.1599731445312
Meta,2024-11-04,560.6799926757812
Meta,2024-11-05,572.4299926757812
Meta,2024-11-06,572.0499877929688
Meta,2024-11-07,591.7000122070312
Meta,2024-11-08,589.3400268554688
Meta,2024-11-11,583.1699829101562
Meta,2024-11-12,584.8200073242188
Meta,2024-11-13,580.0
Meta,2024-11-14,577.1599731445312
Meta,2024-11-15,554.0800170898438
Meta,2024-11-18,554.4000244140625
Meta,2024-11-19,561.0900268554688
Meta,2024-11-20,565.52001953125
Meta,2024-11-21,563.0900268554688
Meta,2024-11-22,559.1400146484375
Nvidia,2024-10-28,140.52000427246094
Nvidia,2024-10-29,141.25
Nvidia,2024-10-30,139.33999633789062
Nvidia,2024-10-31,132.75999450683594
Nvidia,2024-11-01,135.39999389648438
Nvidia,2024-11-04,136.0500030517578
Nvidia,2024-11-05,139.91000366210938
Nvidia,2024-11-06,145.61000061035156
Nvidia,2024-11-07,148.8800048828125
Nvidia,2024-11-08,147.6300048828125
Nvidia,2024-11-11,145.25999450683594
Nvidia,2024-11-12,148.2899932861328
Nvidia,2024-11-13,146.27000427246094
Nvidia,2024-11-14,146.75999450683594
Nvidia,2024-11-15,141.97999572753906
Nvidia,2024-11-18,140.14999389648438
Nvidia,2024-11-19,147.00999450683594
Nvidia,2024-11-20,145.88999938964844
Nvidia,2024-11-21,146.6699981689453
Nvidia,2024-11-22,141.9499969482422
Netflix,2024-10-28,749.1199951171875
Netflix,2024-10-29,759.4400024414062
Netflix,2024-10-30,753.739990234375
Netflix,2024-10-31,756.030029296875
Netflix,2024-11-01,756.0999755859375
Netflix,2024-11-04,755.510009765625
Netflix,2024-11-05,763.9099731445312
Netflix,2024-11-06,780.2100219726562
Netflix,2024-11-07,796.5399780273438
Netflix,2024-11-08,795.0399780273438
Netflix,2024-11-11,805.4400024414062
Netflix,2024-11-12,819.5
Netflix,2024-11-13,830.469970703125
Netflix,2024-11-14,837.260009765625
Netflix,2024-11-15,823.9600219726562
Netflix,2024-11-18,847.0499877929688
Netflix,2024-11-19,871.3200073242188
Netflix,2024-11-20,883.8499755859375
Netflix,2024-11-21,897.47998046875
Netflix,2024-11-22,897.7899780273438
Intel,2024-10-28,22.920000076293945
Intel,2024-10-29,22.899999618530273
Intel,2024-10-30,22.299999237060547
Intel,2024-10-31,21.520000457763672
Intel,2024-11-01,23.200000762939453
