company,date,close_price,daily_return,volatility,moving_avg_7,moving_avg_30,vader_daily_sentiment_score,finbert_daily_sentiment_score,news_count,vader_sentiment_std,finbert_sentiment_std,vader_daily_sentiment_score_lag1,finbert_daily_sentiment_score_lag1
Apple,2023-01-03,125.06999969482422,0.0,0.01479188504310455,125.06999969482422,125.06999969482422,,,,,,,
Apple,2023-01-04,126.36000061035156,0.010314231379827232,0.01479188504310455,125.71500015258789,125.71500015258789,,,,,,,
Apple,2023-01-05,125.0199966430664,-0.010604653061194957,0.01479188504310455,125.48333231608073,125.48333231608073,,,,,,,
Apple,2023-01-06,129.6199951171875,0.036794101724815675,0.023753684679113835,126.51749801635742,126.51749801635742,,,,,,,
Apple,2023-01-09,130.14999389648438,0.004088865910060413,0.01981100775599717,127.2439971923828,127.2439971923828,,,,,,,
Apple,2023-01-10,130.72999572753906,0.004456410743407302,0.017344629417267048,127.82499694824219,127.82499694824219,,,,,,,
Apple,2023-01-11,133.49000549316406,0.02111229140844828,0.016281298689544005,128.63428388323103,128.63428388323103,,,,,,,
Apple,2023-01-12,133.41000366210938,-0.0005993095195339082,0.015498719609538471,129.82571302141463,129.23124885559082,,,,,,,
Apple,2023-01-13,134.75999450683594,0.010119112567793076,0.01549690534059677,131.0257121494838,129.84555392795139,,,,,,,
Apple,2023-01-17,135.94000244140625,0.008756366745847899,0.01284522565305086,132.58571297781808,130.4549987792969,,,,,,,
Apple,2023-01-18,135.2100067138672,-0.005369984658148752,0.008482954807903089,133.38428606305803,130.8872722278942,,,,,,,
Apple,2023-01-19,135.27000427246094,0.00044373608175840573,0.0087337635995361,134.11571611676897,131.25249989827475,,,,,,,
Apple,2023-01-20,137.8699951171875,0.01922074933545259,0.010098967905605608,135.1357160295759,131.76153799203726,,,,,,,
Apple,2023-01-23,141.11000061035156,0.02350043960188808,0.010653892780144399,136.22428676060267,132.42928532191686,,,,,,,
Apple,2023-01-24,142.52999877929688,0.010063058343160014,0.009957268489558501,137.52714320591517,133.10266621907553,,,,,,,
Apple,2023-01-25,141.86000061035156,-0.00470075194473818,0.011297303145792163,138.5414297921317,133.64999961853027,,,,,,,
Apple,2023-01-26,143.9600067138672,0.014803370185255682,0.011642769341851945,139.68714468819755,134.25647062413833,,,,,,,
