company,date,vader_daily_sentiment_score,finbert_daily_sentiment_score,news_count,vader_sentiment_std,finbert_sentiment_std
AbbVie,2024-10-30,0.23555714285714285,0.21428571428571427,14,0.3048026946031853,0.42581531362632
AbbVie,2024-10-31,-0.17900000000000002,0.16666666666666666,6,0.4748742233476144,0.408248290463863
AbbVie,2024-11-01,0.30486,0.3985867977142334,5,0.26805061648875195,0.5457931676502488
AbbVie,2024-11-02,0.6597,0.0,1,0.0,0.0
AbbVie,2024-11-03,0.5980000000000001,0.45899125933647156,4,0.10165146334411518,0.5338919729489702
AbbVie,2024-11-04,0.06052,0.0,5,0.5589061522295133,0.0
AbbVie,2024-11-05,0.412425,0.0,4,0.4770477430684131,0.0
AbbVie,2024-11-06,0.2639666666666667,0.33241204420725506,6,0.6038421073978418,0.5149729101122168
AbbVie,2024-11-07,0.47372000000000003,0.1064810037612915,5,0.3191900249067944,0.2380987627226586
AbbVie,2024-11-08,0.20865,0.0,2,0.2950756597891463,0.0
AbbVie,2024-11-10,0.3625,0.0,2,0.29613631996092604,0.0
AbbVie,2024-11-11,0.09739375,0.3731275722384453,16,0.46075232894148244,0.49752026813061906
AbbVie,2024-11-12,-0.0019500000000000003,0.4991119801998138,4,0.5647209015670189,0.5763266922254483
AbbVie,2024-11-14,0.4039333333333333,0.0,3,0.37291318471372575,0.0
AbbVie,2024-11-15,0.5656,0.4997808039188385,2,0.17705953800911148,0.7067967911157499
AbbVie,2024-11-16,0.46934000000000003,0.39999592304229736,5,0.2981276203239143,0.5477169749440011
AbbVie,2024-11-17,-0.5859,0.9989227652549744,1,0.0,0.0
AbbVie,2024-11-18,0.196225,0.2499989718198776,8,0.4432991564878701,0.4629081460692611
AbbVie,2024-11-19,0.29932857142857144,0.14274145024163382,7,0.34623928004722265,0.3776583791200637
Amazon,2024-11-19,0.1779,0.0,1,0.0,0.0
Amazon,2024-11-20,0.49732040816326534,0.08641635398475492,98,0.377929037674214,0.2756292501700508
American Express,2024-11-19,0.2227436170212766,0.14943942427635193,94,0.41261549013670706,0.3379660127651585
American Express,2024-11-20,0.05658333333333335,0.0,6,0.46439990274187903,0.0
Amgen,2024-10-27,0.33525,0.0,2,0.4741150967855801,0.0
Amgen,2024-10-28,0.4880166666666667,0.1660198966662089,6,0.5303016025495931,0.4066640339818019
Amgen,2024-10-29,0.4761,0.3316635191440582,6,0.45491844104190804,0.5138206819140844
Amgen,2024-10-30,0.08603636363636365,0.35986283692446625,11,0.5909416693257081,0.4994160850823515
Amgen,2024-10-31,-0.3818,0.0,1,0.0,0.0
Amgen,2024-11-01,0.3711333333333333,0.0,3,0.16758413807199454,0.0
Amgen,2024-11-02,0.6705,0.0,1,0.0,0.0
Amgen,2024-11-03,0.8779,0.9908756017684937,1,0.0,0.0
Amgen,2024-11-04,-0.15672222222222223,0.0,9,0.4150671475128385,0.0
Amgen,2024-11-05,0.26153333333333334,0.33333241939544683,3,0.7309947081431802,0.5773486862027714
Amgen,2024-11-06,0.6343,0.33323818445205694,3,0.19092639943182296,0.5771854664929716
Amgen,2024-11-07,0.25106666666666666,0.3072756330172221,3,0.6316996939474748,0.5322170083137175
Amgen,2024-11-08,0.1138,0.16666654745737713,6,0.2651474231441822,0.40824799846193105
Amgen,2024-11-11,-0.08514999999999999,0.0,4,0.624781660528967,0.0
Amgen,2024-11-12,-0.26685000000000003,0.49165432155132294,4,0.3463500493238981,0.567876810361164
Amgen,2024-11-13,0.13732222222222223,0.22137047847112018,9,0.467464417837812,0.4392723368303526
Amgen,2024-11-14,0.4501,0.0,4,0.323761300961063,0.0
Amgen,2024-11-15,0.12755,0.4996117353439331,2,0.07120565286548533,0.7065576920441476
Amgen,2024-11-16,0.37052,0.19773148298263551,5,0.4241314147761281,0.4421410372410159
Amgen,2024-11-17,0.37998,0.0,5,0.5785326239720625,0.0
Amgen,2024-11-18,0.402825,0.3686318099498749,8,0.36448547198168857,0.5090024851676093
Amgen,2024-11-19,0.52745,0.0,4,0.2605932910366906,0.0
Apple,2024-11-19,0.31584242424242426,0.11156302871126117,33,0.42831156083386235,0.3089174350159683
Apple,2024-11-20,0.22467910447761194,0.09481915965009091,67,0.4793306869328831,0.2819377429557085
Bank of America,2024-11-19,0.2245648351648352,0.13359448870459756,91,0.3834586500592343,0.3321065667793932
Bank of America,2024-11-20,0.16999999999999998,0.0,9,0.4169086110888092,0.0
Biogen,2024-10-23,0.6597,1.0,1,0.0,0.0
Biogen,2024-10-24,0.17500000000000002,0.0,5,0.4931341247571496,0.0
Biogen,2024-10-25,-0.1366,0.3940955102443695,2,0.19318157262016478,0.5573352154579324
Biogen,2024-10-26,0.80385,0.0,2,0.045466966030294986,0.0
Biogen,2024-10-27,0.33449999999999996,0.0,5,0.2823282663850717,0.0
Biogen,2024-10-28,0.4096444444444444,0.04970202181074354,9,0.458246205961138,0.14910606543223062
Biogen,2024-10-29,0.3234666666666667,0.1111067533493042,9,0.49709089460580547,0.3333202600479126
Biogen,2024-10-30,0.16096666666666667,0.5679636160532634,15,0.4128786689066114,0.4949372104791743
Biogen,2024-10-31,0.49028333333333335,0.16666553417841592,6,0.38770197531953154,0.40824551644550905
Biogen,2024-11-01,0.4159,0.0,4,0.22019380857175194,0.0
Biogen,2024-11-03,0.59055,0.0,2,0.1130663743117289,0.0
Biogen,2024-11-04,0.296,0.0,1,0.0,0.0
Biogen,2024-11-05,0.7211000000000001,0.0,2,0.0715592062560787,0.0
Biogen,2024-11-06,0.523,0.33323818445205694,3,0.10823405194299991,0.5771854664929716
